vocābulum -ī n	word
salūtō, salūtāre, salūtāvī, salūtātus	greet
sacculus -ī m	purse
rūrsus	again
quod n	what, which, that which
quīnque	five
quattuor	four
pōno, pōnere, posuī, positum	place, put, lay down
pecūnia -ae f	money
pāreo, pārēre, pāruī, pāritum	obey
octō	eight
nummus -ī m	coin, sesterce
numero, numerāre, numeravi, numeratus	count
nūllus -a -um	no
novem	nine
mēnsa -ae f	table
is ea id	he, she, it
habeō, habēre, habuī, habitum	have, hold, consider
discēdō, discēdere, discessī, discessum	go away, depart
decem	ten
bonus -a -um	good
baculum -ī n	stick
adsum, adesse, adfuī, adfutūrus	be present, stand by
accūso, accūsāre, accūsāvī, accūsātus	accuse
absum, abesse, āfuisse, afuturus	be absent/away/distant
vīlla -ae f	country house, villa
sōlus -a -um	alone, lonely
sine prp +abl	without
rosa -ae f	rose
pulcher -chra -chrum	beautiful, fine
peristylum -ī n	peristyle, the part of a building enclosing a courtyard with columns on the inside
ōstium -ī n	door, entrance
nāsus -ī m	nose
līlium -ī n	lily
impluvium -ī n	water basin
hortus -ī m	garden
habitō, habitāre, habitāvī, habitātus	dwell, live
foedus -a -um	ugly, hideous
fenestra -ae f	window
ex/ē prp +abl	out of, from, of, since
etiam	also, even, yet
dēlectō, dēlectāre, dēlectāvī, dēlectātus	delight, please
cum prp +abl	with
cubiculum -ī n	bedroom
carpō, carpere, carpsī, carptum	gather, pick, crop
ātrium -ī n	main room, hall
aqua -ae f	water
amō amāre amāvī amātus	love
agō, agere, ēgī, āctus	drive, do, perform
age -ite +imp	come on! well, now
via -ae f	road, way, street
veho vehere vēxi vectus	bear, carry, convey; pass, ride, sail
unde	from where
umerus -ī m	shoulder
timeō, timēre, timuī, --	fear, be afraid (of)
tam	so, as
saccus -ī m	sack
quō adv	where (to)
quam	how, as, than
prope prp +acc, adv	near, nearly
procul	far (from), far away
post prp +acc, adv	behind, after, later
porto, portāre, portavi, portatus	carry
porta -ae f	gate
per prp +acc	through, by, during
passus -ūs m	pace (1.48 m)
nam	for
mūrus -ī m	wall
malus -a -um	bad, wicked, evil
longus -a -um	long
lectīca -ae f	litter, sedan
ita-que	therefore
eō, īre, īvī, ītus	go
intrō, intrāre, intrāvī, intrātus	enter
inter prp +acc	between, among, during
in-imīcus -ī m	(personal) enemy
fessus -a -um	tired, weary
equus -ī m	horse
duo-decim	twelve
circum prp +acc	round
autem	but, however, moreover
apud prp +acc	beside, near, by
ante prp +acc, adv	in front of, before
amīcus -ī m	friend
amīca -ae f	girlfriend
ambulo, ambulāre, ambulavi, ambulatus	walk
ad prp +acc	to, toward, by, at, till
ā/ab/abs prp +abl	from, of, since, by
vertō, vertere, vertī, versum	turn, change
tergeō, tergēre, tersī, tersus	wipe
tenēre -uisse -ntum	hold, keep (back)
speculum -ī n	mirror
sōlum adv	only
sē sibi	himself
plēnus -a -um (+gen/abl)	full (of)
pirum -ī n	pear
ōstiārius -ī m	door-keeper, porter
ōsculum -ī n	kiss
oculus -ī m	eye
nōn-ne	not?
neque ….neque	neither…nor
mare -is n	sea
mālum -ī n	apple
lacrimāre	shed tears, weep
lacrima -ae f	tear
in-esse	be (in)
in prp +acc	into, to, against
immō	no, on the contrary
illīc	there
hic haec hoc	this
fōrmōsus -a -um	beautiful
ex-spectāre	wait (for), expect
exeō, exīre, exiī, exitum	go out
et…et	both…and
ē v. ex/ē	out of, from
dare dedisse datum	give
currō, currere, cucurrī, cursum	run
claudere -sisse -sum	shut, close
aperīre -uisse -rtum	open, disclose
adveniō, advenīre, advēnī, adventum	arrive
adeo, adīre, adivī, aditus	go to, approach
vīgintī	twenty
vēndo, vēndere, vēndidī, vēnditum	sell
tantus -a -um	so big, so great ; only
tabernārius -ī m	shopkeeper
taberna -ae f	shop, stall
sēstertius -ī m	sesterce (silver coin)
satis	enough, rather
quī quae quod (…?)	what, which
quārtus -a -um	fourth
quantus -a -um	how large, (as large) as
pretium -ī n	price, value
pecūniōsus -a -um	wealthy
ostendō, ostendere, ostendī, ostentus	show
ōrnāre	equip, adorn
ōrnāmentum -ī n	ornament, jewel
octōgintā	eighty
nōnāgintā	ninety
nimis	too, too much
mōnstrāre	point out, show
medius -a -um	mid, middle
medium -ī n	middle, center
margarīta -ae f	pearl
līnea -ae f	string, line
ille -a -ud	that, the one, he
gemmātus -a -um	set with a jewel
gemma -ae f	precious stone, jewel
emere ēmisse ēmptum	buy
digitus -ī m	finger
convenīre (ad/+dat)	fit, be fitting ; come together, meet
con-venīre	come together, meet; to fit, be appropriate for
cōnstāre ex	consist of
cōn-stāre -stitisse	be fixed, cost
cōn-sistere -stitisse	stop, halt
collum -ī n	neck
clāmāre	shout
aut	or
a-spicere	look at, look
ānulus -ī m	ring
alius -a -ud	another, other
ac-cipere	receive
ab-īre -eō -iisse	go away
vestīgium -ī n	footprint, trace
vallis -is f	valley
ut	like, as
ūn-dē-centum	ninety-nine
umbra -ae f	shade, shadow
ululāre	howl
timor -ōris m	fear
terra -ae f	earth, ground, country
suprā prp +acc, adv	above
sub prp +abl/acc	under, near
sōl -is m	sun
silva -ae f	wood, forest
rīvus -ī m	brook
reperīre repperisse repertum	find
relinquō, relinquere, relīquī, relictum	leave, leave behind
quaerere -sīvisse -sītum	look for, seek, ask (for)
petere -īvisse -ītum	make for, aim at, attack, seek, ask for, request
pāstor -ōris m	shepherd
pānis -is m	bread, loaf
ovis -is f	sheep
nūbēs -is f	cloud
niger -gra -grum	black
mōns montis (m)	mountain
modus -ī m	manner, way
lupus -ī m	wolf
lūcēre lūxisse	shine
lātrāre	bark
ipse -a -um	himself
im-pōnere	place (in/on), put
iaceō, iacēre, iacuī	lie
herba -ae f	grass, herb
ēsse edō ēdisse ēsum	eat
errāre	wander, stray
dum	while, as long as, till
dūcere -xisse ductum	guide, lead, draw, trace
dēns dentis m	tooth
dēclīnāre	decline, inflect
collis -is m	hill
clāmor -ōris m	shout, shouting
cibus -ī m	food
canis -is m/f	dog
campus -ī m	plain, level ground
caelum -ī n	sky, heaven
bibere -bisse	drink
bālāre	bleat
arbor -oris f	tree
albus -a -um	white
ac-currere -rrisse	come running
vōx vōcis f	voice
volāre	fly
vīvus -a -um	living, alive
vīvo, vīvere, vīxī, vīctum	live, be alive
velle volō voluisse	want, be willing
tenuis -e	thin
sus-tinēre	support, sustain, endure
spīrāre	breathe
rāmus -ī m	branch, bough
quod (= quia)	because, that
pulmō -ōnis m	lung
pullus -ī m	young (of an animal), chick
posse potuisse	be able
piscis -is m	fish
pila -ae f	ball
petasus -ī m	hat
pēs pedis m	foot
per-territus -a -um	terrified
parere -iō peperisse	give birth to, lay
ōvum -ī n	egg
occultāre	hide
nūntius -ī m	messenger, message
nīdus -ī m	nest
nēmō, nēminem, nūllīus, nēminī, nūllō or nūllā	no one, nobody
necesse est	it is necessary
natāre	swim
movēre mōvisse mōtum	move, stir
mortuus -a -um (< morī)	dead
mercātor -ōris m	merchant
lūdō, lūdere, lūsī, lūsum	play
leō -ōnis m	lion
lectus -ī m	bed, couch
homō -inis m	human being, person
folium -ī n	leaf
flūmen -inis n	river
-ficere -iō -fēcisse -fectum	< facere
ferus -a -um	wild
fera -ae f	wild animal
facere -iō fēcisse factum	make, do, cause
ergō	therefore, so
enim	for
deus -ī m, pl deī/diī/dī	god
cum coniūnctiō	when, as
crassus -a -um	thick, fat
-cipere -iō -cēpisse -ceptum	
cauda -ae f	tail
capere -iō cēpisse captum	take, catch, capture
canere, cecinisse, cantus	sing (of), crow, play
cadere cecidisse	fall
bēstia -ae f	beast, animal
avis -is f	bird
audēre ausum esse	dare, venture
asinus -ī m	ass, donkey
a-scendere -disse	climb, go up, mount
aquila -ae f	eagle
animal -ālis n	animal, living being
anima -ae f	breath, life, soul
aliī…aliī	some…others
āla -ae f	wing
āēr -eris m	air
viscera -um n pl	internal organs
venter -tris m	belly, stomach
vēna -ae f	vein
tangere tetigisse tāctum	touch
super prp +acc	on (top of), above
stultus -a -um	stupid, foolish
stāre stetisse	stand
spectāre	watch, look at
sentiō, sentīre, sēnsī, sēnsum	feel, sense, think
sedeō, sedēre, sēdi, sessum	sit
sānus -a -um	healthy, well
sanguis -inis (m)	blood
sānāre	heal, cure
ruber -bra -brum	red
re-venīre	come back
quiētus -a -um	quiet
putāre	think, suppose
pōculum -ī n	cup, glass
pectus -oris n	breast
palpitāre	beat, throb
ōs ōris n	mouth
noster -tra -trum	our, ours
modo	only, just
membrum -ī n	limb
medicus -ī m	physician, doctor
manus -ūs f	hand
male adv	badly, ill
lingua -ae f	tongue, language
labrum -ī n	lip
iubēre iussisse iussum	order, tell
īnfrā prp +acc	below
iecur -oris n	liver
hūmānus -a -um	human
gena -ae f	cheek
gaudeo, gaudēre, gavisum esse	be glad, be pleased
frōns -ontis f	forehead
fluo, fluere, flūxī, flūxum	flow
dolēre	hurt, feel pain, grieve
dīco, dīcere, dīxī, dictum	say, call, speak
dē-tergēre	wipe off
dē prp +abl	(down) from, of, about
culter -tri m	knife
crūs -ūris n	leg
corpus -oris n	body
cor cordis n	heart
color -ōris m	color
cerebrum -ī n	brain
caput -itis n	head, chief, capital
capillus -ī m	hair
bracchium -ī n	arm
bene	well
auris -is f	ear
atque/ac	and, as well
arcessere -īvisse -ītum	send for, fetch
ap-pōnere	place (on), serve
aegrōtāre	be ill
aeger -gra -grum	sick, ill
vester -tra -trum	your, yours
vesperī adv	in the evening
versus -ūs m	line, verse
vāllum -ī n	rampart
trīstis -e	sad
soror -ōris f	sister
scūtum -ī n	shield
sagitta -ae f	arrow
pugnus -ī m	fist
pugnāre	fight
prae-nōmen -inis n	first name
pīlum -ī n	spear, javelin
pedes -itis m	foot-soldier
patria -ae f	native country/town
pars -rtis f	part, direction
op-pugnāre	attack
nōmen -inis n	name, second name, gens name
mīlitāre	serve as a soldier
mīles -itis m	soldier
metus -ūs m	fear
metuere -uisse	fear
levis -e	light, slight
lātus -a -um	broad, wide
in-colere	inhabit
impetus -ūs m	attack, charge
-icere -iō -iēcisse -iectum	lie
iacere -iō iēcisse iactum	throw, hurl
hostis -is m	enemy
hasta -ae f	lance
gravis -e	heavy, severe, grave
gladius -ī m	sword
fugere -iō fūgisse	run away, flee
frāter -tris m	brother
fossa -ae f	ditch, trench
fortis -e	strong, brave
fīnis -is m	boundary, limit, end
ferre tulisse lātum	carry, bring, bear
ex-pugnāre	conquer
exercitus -ūs m	army
equitātus -ūs m	cavalry
eques -itis m	horseman
dux ducis m	leader, chief, general
dīvidere -īsisse -īsum	separate, divide
dē-fendere -disse -ēnsum	defend
contrā prp +acc	against
cognōmen -inis n	third name, nickname
castra -ōrum n pl	camp
brevis -e	short
bellum -ī n	war
barbarus -a -um	foreign, barbarian
avunculus -ī m	(maternal) uncle
armātus -a -um	armed
arma -ōrum n pl	arms
arcus -ūs m	bow
altus -a -um	high, tall, deep
vesper -erī m	evening
vēr vēris n	spring
vel	or
urbs -bis f	city
ūn-dē-trīgintā	twenty-nine
ūndecimus -a -um	eleventh
ūn-decim	eleven
tunc	then
trīgintā	thirty
tre-centī -ae -a	three hundred
tōtus -a -um	the whole of, all
tempus -oris n	time
stēlla -ae f	star
sextus -a -um	sixth
Sextīlis -is (mēnsis)	August
sexāgintā	sixty
septimus -a -um	seventh
September -bris (mēnsis)	September
saeculum -ī n	century
quīntus -a -um	fifth
Quīntīlis -is (mēnsis)	July
quārta pars	fourth, quarter
quandō	when, as
postrēmus -a -um sup	last
ōtiōsus -a -um	leisured, idle
operiō, operīre, operuī, opertum	cover
Octōber -bris (mēnsis)	October
octāvus -a -um	eighth
obscūrus -a -um	dark
nunc	now
nox noctis f	night
November -bris (mēnsis)	November
nōnus -a -um	ninth
nōnae -ārum f pl	5th/7th (of the month)
nōmināre	name, call
nix nivis f	snow
merīdiēs -ēī m	midday, noon, south
mēnsis -is m	month
Mārtius -ī (mēnsis)	March
māne indēcl n, adv	morning, in the morning
Māius -ī (mēnsis)	May
lūx lūcis f	light, daylight
lūna -ae f	moon
lacus -ūs m	lake
kalendārium -ī n	calendar
kalendae -ārum f pl	the 1st (of the month)
Iūnius -ī (mēnsis)	June
Iūlius -ī (mēnsis)	July
item	likewise, also
initium -ī n	beginning
in-cipere -iō coepisse coeptum	begin
imber -bris m	rain, shower
illūstrāre	illuminate, make clear
igitur	therefore, then, so
īdūs -uum f pl	13th/15th (of the month)
Iānuārius -ī (mēnsis)	January
hōra -ae f	hour
hiems -mis f	winter
glaciēs -ēī f	ice
frīgidus -a -um	cold, chilly, cool
fōrma -ae f	form, shape, figure
Februārius -ī (mēnsis)	February
faciēs -ēī f	face
exiguus -a -um	small, scanty
duo-dē-trīgintā	twenty-eight
duo-decimus -a -um	twelfth
du-centī -ae -a	two hundred
dīmidius -a -um	half
diēs -ēī m (f)	day, date
decimus -a -um	tenth
December -bris (mēnsis)	December
coep-	v. incipere
clārus -a -um	bright, clear, loud
cēterus -a -um	remaining
calidus -a -um	warm, hot, f hot water
autumnus -ī m	autumn
Augustus -ī (mēnsis)	August
Aprīlis -is (mēnsis)	April
annus -ī m	year
aestās -ātis f	summer
aequus -a -um	equal, calm
aequinoctium -ī n	equinox
vigilāre	be awake
vestīre	dress
vestīmentum -ī n	garment, clothing
valēre	be strong, be well
valē -ēte	farewell, goodbye
uter-que utra- utrum-	each of the two, both
uter utra utrum	which (of the two), either
tunica -ae f	tunic
tū tē tuī tibi tē	you, yourself
togātus -a -um	wearing the toga
toga -ae f	toga
tabula -ae f	writing-tablet
surgere sur-rēxisse	rise, get up
stilus -ī m	stylus
sordidus -a -um	dirty, mean, base
solēre -itum esse	be accustomed
sinister -tra -trum	left, f the left (hand)
rēs reī f	thing, matter, affair
rēgula -ae f	ruler
quō-modo	how
pūrus -a -um	clean, pure
prīmum adv	first
praeter prp +acc	past, besides, except
poscere poposcisse	demand, call for
parentēs -um m pl	parents
omnis -e	all, every
nūdus -a -um	naked
nihil/nīl	nothing
neuter -tra -trum	neither
multum -ī n, adv	much
mergere -sisse -sum	dip, plunge, sink
lavō, lavāre, lāvī, lautum	wash, bathe
inquit -iunt	(he/she) says/said
induere -uisse -ūtum	put on (clothes)
hodiē	today
gerere gessisse gestum	carry, wear, carry on, do
gallus -ī m	cock, rooster
frīgēre	be cold
ex-citāre	wake up, arouse
dexter -tra -trum	right, f the right (hand)
de-inde/dein	afterward, then, next
cubāre -uisse -itum	lie (in bed)
clausus -a -um	closed, shut
calceus -ī m	shoe
apertus -a -um	open
an	or
alter -era -erum	one, the other, second
af-ferre at-tulisse al-lātum	bring (to, forward, about)
ad-hūc	so far, till now, still
vōs vōbīs	you, yourselves
virga -ae f	rod
vērus -a -um	true, n truth
tum	then
tergum -ī n	back
tacitus -a -um	silent
statim	at once
sī	if
sevērus -a -um	stern, severe
sella -ae f	stool, chair
red-īre -eō -iisse -itum	go back, return
red-dere -didisse -ditum	give back, give
recitāre	read aloud
quid adv	why
pūnīre	punish
prior, prior, prius	first, former, front-
posterior -ius comp	back-, hind-, later
nōs nōbīs	we, us, ourselves
nōn-dum	not yet
nisi	if not, except, but, unless
malum -ī n	evil, trouble, harm
magister -trī m	schoolmaster, teacher
lūdus -ī m	play, game, school
licēre: licet +dat	it is allowed, one may
lectulus -ī m	(little) bed
īnferior -ius comp	lower, inferior
iānua -ae f	door
ex-clāmāre	cry out, exclaim
domī	at home (locativus)
discipulus -ī m	pupil, disciple
dēsinere -siisse	finish, stop, end
cōn-sīdere -sēdisse	sit down
āter -tra -trum	black, dark
at	but
ante-quam	before
vix	hardly
neque/nec vērō	but not
vērō	really, however, but
vereor, verērī, veritus sum	fear
ventus -ī m	wind
vēlum -ī n	sail
turbidus -a -um	agitated, stormy
turbāre	stir up, agitate
tranquillus -a -um	calm, still
tonitrus -ūs m	thunder
tempestās -ātis f	storm
superus -a -um	upper
sī-ve/seu	or, or if
situs -a -um	situated
simul	together, at the same time
servāre	preserve, save
serēnus -a -um	clear, cloudless
sequī secūtum	follow
septentriōnēs -um m pl	north, The Seven Oxen, The Plough
semper	always
puppis -is f	stern, poop
propter prp +acc	because of
proficīscī -fectum	set out, depart
praeter-eā	besides
portus -ūs m	harbor
paulum	a little, little
paulō +comp, ante/post	a little
orīrī ortum	rise, appear
oriēns -entis m	east
ōra -ae f	border, coast
opperīrī -ertum	wait (for), await
oc-cidere -disse	fall, sink, set
occidēns -entis m	west
nāvis -is f	ship
nāvigāre	sail
nauta -ae m	sailor
multō +comp	much, by far
merx -rcis f	commodity, pl goods
maritimus -a -um	sea-, coastal
loquī locūtum	speak, talk
locus -ī m	place
laetārī	rejoice, be glad
lābī lāpsum	slip, drop, fall
iterum	again, a second time
in-vocāre	call upon, invoke
intuērī	look at, watch
inter-esse	be between
īn-fluere	flow into
īnferus -a -um	lower
im-plēre -ēvisse -ētum	fill, complete
iactāre	throw, toss about
hauriō, haurīre, hausī, haustum	draw (water), bail
gubernātor -ōris m	steersman
gubernāre	steer, govern
fulgur -uris n	flash of lightning
flūctus -ūs m	wave
flāre	blow
fiō, fierī, factum esse (fiat, fiunt)	be made, be done, become, happen
ē-gredī -ior -gressum	go out
contrārius -a -um	opposite, contrary
cōn-sōlārī	comfort, console
cōn-scendere -disse	mount, board
cōnārī	attempt, try
complector, complectī, complexus sum	embrace
cernere crēvisse	discern, perceive
appellāre	call, address
altum -ī n	the open sea
ūsque	all the way up (to), all the time
ūn-dē-vīgintī	nineteen
trē-decim	thirteen
tot	so many (Indeclinable)
tollō, tollere, sustulī, sublātum	raise, lift, pick up, remove, take away
ses-centī -ae -a	six hundred
septuāgintā	seventy
septin-gentī -ae -a	seven hundred
septen-decim	seventeen
sē-decim	sixteen
sciō, scīre, scīvī, scītum	know
respōnsum -ī n	answer
re-prehendere	blame, censure; hold back, restrain
re-pōnere	put back
rēctus -a -um	straight, correct
quis-que quae- quod-	each, each one, everyone ; whoever, whatever
quīnquāgintā	fifty
quīn-gentī -ae -a	five hundred
quīn-decim	fifteen
quattuor-decim	fourteen
quā-rē	why
quamquam	although
quadrin-gentī -ae -a	four hundred
quadrāgintā	forty
prūdēns -entis adi	prudent, clever
prōmō, prōmere, prōmpsī, prōmptum	produce, bring out, take out, display
prāvus -a -um	faulty, wrong
postrēmō adv	finally
piger -gra -grum	lazy
partīrī	share, divide
oportēre: oportet	it is right, you should
octin-gentī -ae -a	eight hundred
numquam	never
nōn-gentī -ae -a	nine hundred
ne-scīre	not know
laudāre	praise
largus -a -um	generous
largīrī	give generously
inter-pellāre	interrupt
inimīcus -a -um	unfriendly
industrius -a -um	industrious
in-doctus -a -um	ignorant
in-certus -a -um	uncertain
facilis -e, sup -illimus	easy
duo-dē-vīgintī	eighteen
doctus -a -um	learned, skilled
docēre -uisse doctum	teach, instruct
discere didicisse	learn
dif-ficilis -e, sup -illimus	difficult, hard
dēnārius -ī m	denarius (silver coin , 4 sestertii)
dē-mōns-*trā-re	point out, show
com-putāre	calculate, reckon
cōgitāre	think
certus -a -um	certain, sure
centēsimus -a -um	hundredth
as assis m	as (copper coin)
amīcus -a -um	friendly
aequē	equally
absēns -entis	absent
zephyrus -ī m	west wind
vōcālis -is f	vowel
varius -a -um	varied, different
turpis -e	ugly, foul
totiēs	so many times
ter	three times
tālis -e	such
super-esse	be left, be in excess
significāre	signify, show by signs, indicate, mean
signāre	mark, seal
sīc	in this way, so, thus
sexiēs	six times
sententia -ae f	opinion, sentence
semel	once
scrībere -psisse -ptum	write
rārus -a -um	rare
quotiēs	how many times
quīnquiēs	five times
quater	four times
quālis -e	what sort of, (such) as
premere pressisse pressum	press
papyrus -ī f	papyrus
mollis -e	soft
mercēs -ēdis f	wage, fee, rent
mendum -ī n	mistake, error
māteria -ae f	material, substance
legere lēgisse lēctum	read
iungere iūnxisse iūnctum	join, combine
ita	so, in such a way
intellegere -ēxisse -ēctum	understand, realize
im-primere -pressisse -pressum	press (into)
im-piger -gra -grum	active, industrious
īdem eadem idem	the same
frequēns -entis	numerous, frequent
ferrum -ī n	iron, steel
ex-audīre	hear (clearly, from afar)
erus -ī m	master
epistula -ae f	letter
efficiō, ef-ficere, effēcī, effectum	make, effect, cause
dūrus -a -um	hard
dictāre	dictate
dēlēre -ēvisse -ētum	delete, efface
de-esse dē-fuisse (+dat)	be missing, fail
deciēs	ten times
corrigō, corrigere, corrēxī , corrēctum	correct
cōnsonāns -antis f	consonant
com-parāre	compare
charta -ae f	paper
certē	certainly, at any rate
cēra -ae f	wax
calamus -ī m	reed, pen
bis	twice
bēstiola -ae f	small animal, insect
aut…aut	either…or
apis -is f	bee
anim-ad-vertere	notice
addō, addere, addidī, additum	add
virgō -inis f	maiden, young girl
uxor -ōris f	wife
nec/neque ūllus	and no
ūllus -a -um	any
templum -ī n	temple
tēctum -ī n	roof
tamen	nevertheless, yet
signum -ī n	sign, seal, statue
re-mittere	send back
pulchritūdō -inis f	beauty
praeteritus -a -um	past
praesēns -entis (adj)	present
possidēre -sēdisse	possess, own
plūs plūris (n noun and adj)	more
plūrimī -ae -a sup	most, a great many
plūrēs -a comp	more
pessimus -a -um sup	worst
pēior -ius comp	worse
pauper -eris adi	poor
ōsculārī	kiss
opus est	it is needed
optimus -a -um sup	best, very good
mittere mīsisse missum	send, throw
miser -era -erum	unhappy, miserable
minus (adv)	less, not so well (comp parus)
minuō, minuere, minuī, minūtum	diminish, reduce
minor, minus (comp)	smaller, younger
minimus -a -um sup	smallest, youngest
melior -ius comp	better
māximus -a -um	biggest, greatest, oldest
mātrōna -ae f	married woman
marītus -ī m	husband
māior -ius comp	bigger, older
magnificus -a -um	magnificent, splendid
gracilis -e	slender
forum -ī n	square
flōs -ōris m	flower
ergā prp +acc	toward
dōnum -ī n	gift, present
domus -ūs f, abl -ō	house, home
dīves -itis adi	rich, wealthy
dignus -a -um	worthy
dea -ae f	goddess
cotīdiē	every day
coniūnx -iugis m/f	spouse
columna -ae f	column
beātus -a -um	happy
augēre -xisse -ctum	increase
amor -ōris m	love
amāns -antis m	lover
adulēscēns -entis m	young man
vīcēsimus -a -um	twentieth
versus: ad…versus	toward
vāgīre	wail, squall
ūnā adv	together
ūmidus -a -um	wet, moist
tata -ae m	daddy
somnus -ī m	sleep
sīve . . . sīve	whether…or
silēre	be silent
silentium -ī n	silence
sermō -ōnis m	talk, conversation
revertor, revertī, reversus sum	return, come back
rārō adv	rarely, seldom
profectō	indeed, certainly
postulāre	demand, require
pergere per-rēxisse	proceed, go on
parvulus -a -um	little, tiny
officium -ī n	duty, task
oc-currere -rrisse +dat	meet, (run to) meet
nūtrīx -īcis f	nurse
nōlle nōluisse	be unwilling, not want
nōlī -īte +īnf	don’t…!
necessārius -a -um	necessary
mulier -eris f	woman
mox	soon
minimē	by no means, not at all
manēre mānsisse	remain, stay
magis	more
lac lactis n	milk
īnfāns -antis m/f	little child, baby
gradus -ūs m	step, degree
tempus futūrum	future
futūrus -a -um (v. esse)	future
fīliolus -ī m	little son
fīliola -ae f	little daughter
fārī	speak
domum adv	home
dīligere -ēxisse -ēctum	love, be fond of
decēre	be fitting, become
dēbēre	owe, be obliged
cūrāre	care for, look after, take care
cūnae -ārum f pl	cradle
crās	tomorrow
colloquium -ī n	conversation
col-loquī	talk, converse
carēre +abl	be without, lack
aliēnus -a -um	someone else’s
alere -uisse altum	feed
adversus/-um prp +acc	toward, against
ad-vehere	carry, convey (to)
vincō, vincere, vīcī, victum	defeat, overcome, win
vestis -is f	clothing
validus -a -um	strong
tabella -ae f	writing-tablet
sordēs -ium f pl	dirt
solum -ī n	floor, lowest part; soil, ground
pugna -ae f	fight
post-quam	after, since
porcus -ī m	pig
nārrāre	relate, tell
mūtāre	change, exchange
mundus -a -um	clean, neat
nūllō modō	by no means
mentīrī	lie
interim	meanwhile
in-dignus -a -um	unworthy, shameful
humus -ī f	ground, soil, earth
humī (loc)	on the ground
genū -ūs n	knee
falsus -a -um	false
fallere fefellisse falsum	deceive
ex-cūsāre	excuse (cf. ac-cūsō, ad/ex causa)
dubitāre	doubt
cum prīmum +perf	as soon as
cruor -ōris m	blood (from wound), gore
crēdere -didisse +dat	believe, trust, entrust
cornū -ūs n	horn
cōnspicio, cōnspicere, cōnspexī, cōnspectus	catch sight of, see, observe, watch
cognōscō, cognōscere, cognōvī, cognitum	get to know, recognize
causa -ae f	cause, reason
candidus -a -um	white, bright
bōs bovis m/f	ox
angustus -a -um	narrow
ali-quis -quid	someone, something
āiō (ais, ait, āiunt)	say
ain'	really? (aisne?, did you say?)
vincīre -nxisse -nctum	tie
tremere -uisse	tremble
terrēre	frighten
tandem	at length, at last
tabellārius -ī m	letter-carrier
solvere -visse solūtum	untie, discharge, pay
sinere sīvisse situm	let, allow
sīc-ut	just as, as, in the same way
scindere scidisse scissum	tear, tear up
scīlicet	of course
salīre -uisse	jump
rumpere rūpisse ruptum	break
rogitāre	ask (repeatedly)
re-tinēre -uisse -tentum	hold back
re-sistere re-stitisse +dat	halt, resist
re-movēre	remove
re-cēdere	go back, retire
